id,changevalue,market_cap,nane,price,supply,volume
1,-0.0084,"$60,219,183,594 ",Bitcoin,3631.72,"16,581,450 BTC",1226800000
2,0.0132,"$25,061,275,598 ",Ethereum,264.44,"94,772,198 ETH",462576000
3,-0.0322,"$6,815,417,939 ",Bitcoin Cash,410.47,"16,603,775 BCH",260857000
4,-0.0042,"$6,646,329,833 ",Ripple,0.17,"38,343,841,883 XRP *",41945000
5,0.0362,"$2,607,960,913 ",Dash,344.36,"7,573,378 DASH",97142300
6,0.0274,"$2,562,271,606 ",Litecoin,48.3,"53,051,957 LTC",212827000
7,-0.0153,"$1,880,775,000 ",NEM,0.21,"8,999,999,999 XEM *",2941490
8,0.0135,"$1,400,024,388 ",IOTA,0.5,"2,779,530,283 MIOTA *",9257370
9,0.0051,"$1,318,572,158 ",Monero,87.29,"15,104,906 XMR",28416400
10,-0.0023,"$980,752,344 ",Ethereum Classic,10.24,"95,768,179 ETC",33193100
11,0.1014,"$953,330,000 ",NEO,19.07,"50,000,000 NEO *",22268200
12,0.0024,"$742,161,368 ",BitConnect,109.8,"6,759,457 BCC",6876050
13,0.0826,"$660,697,505 ",Lisk,5.87,"112,588,315 LSK *",11626600
14,0.1284,"$449,832,166 ",Zcash,200.73,"2,240,981 ZEC",42222900
15,-0.0274,"$389,138,472 ",Stratis,3.95,"98,553,494 STRAT *",4242060
16,0.0265,"$377,436,000 ",Waves,3.77,"100,000,000 WAVES *",2874770
17,-0.0087,"$273,223,160 ",Ark,2.8,"97,727,338 ARK *",3300420
18,0.0143,"$244,833,707 ",Steem,1.01,"242,251,308 STEEM",585571
19,-0.0121,"$206,169,389 ",Bytecoin,0,"183,253,534,612 BCN",990913
20,-0.0086,"$187,452,105 ",Decred,32.28,"5,806,815 DCR",1564150
21,-0.025,"$181,015,326 ",BitShares,0.07,"2,599,260,000 BTS *",13569800
22,-0.0069,"$178,986,094 ",Stellar Lumens,0.01,"16,587,223,471 XLM *",1879370
23,-0.0261,"$166,544,448 ",Hshare,4.96,"33,600,000 HSR *",6192230
24,0.0099,"$164,652,221 ",Komodo,1.63,"100,945,510 KMD",721260
25,0.0146,"$155,221,542 ",PIVX,2.86,"54,342,049 PIVX *",486072
26,0.0369,"$137,200,156 ",Factom,15.69,"8,745,102 FCT *",1497780
27,-0.0115,"$123,838,607 ",Byteball Bytes,212.09,"583,896 GBYTE *",148709
28,-0.1895,"$114,368,857 ",Nexus,2.17,"52,592,813 NXS",1602630
29,-0.0291,"$114,053,002 ",Siacoin,0,"29,555,679,372 SC",2142570
30,-0.0115,"$109,587,646 ",DigiByte,0.01,"8,742,253,657 DGB",1957170
31,0.0329,"$105,257,379 ",BitcoinDark,81.67,"1,288,862 BTCD",254990
32,-0.0427,"$95,689,716 ",GameCredits,1.49,"64,254,060 GAME",624470
33,0.1078,"$88,573,495 ",GXShares,2.19,"40,510,000 GXS *",9092
34,0.0171,"$86,893,637 ",Lykke,0.32,"268,135,619 LKK *",93098
35,-0.0029,"$84,305,613 ",Dogecoin,0,"111,186,214,624 DOGE",3480610
36,-0.0371,"$83,012,539 ",Blocknet,19.65,"4,224,449 BLOCK *",185903
37,-0.013,"$75,311,596 ",Syscoin,0.14,"527,680,360 SYS",1073870
38,-0.0309,"$71,456,664 ",Verge,0.01,"13,409,472,280 XVG",1688240
39,0.0314,"$62,294,317 ",FirstCoin,7.17,"8,682,958 FRST",955802
40,-0.0072,"$58,863,274 ",Nxt,0.06,"998,999,942 NXT *",2557440
41,-0.0604,"$55,776,049 ",I-O Coin,3.41,"16,367,556 IOC *",479574
42,-0.0292,"$53,128,777 ",Ubiq,1.4,"38,006,679 UBQ",603228
43,-0.0044,"$53,125,035 ",Particl,6.89,"7,712,615 PART *",166934
44,0.0672,"$50,847,062 ",NAV Coin,0.82,"61,803,005 NAV *",707893
45,0.0081,"$49,052,971 ",Rise,0.43,"113,139,200 RISE *",1312090
46,-0.1213,"$42,079,535 ",Vertcoin,1.06,"39,682,700 VTC",6746940
47,-0.0839,"$38,448,620 ",Bitdeal,0.32,"119,876,595 BDL",311092
48,0.036,"$38,238,279 ",FairCoin,0.72,"53,193,831 FAIR *",69622
49,0.1397,"$38,149,930 ",Metaverse ETP,1.69,"22,600,000 ETP",2638610
50,-0.0058,"$38,129,124 ",Gulden,0.11,"353,145,545 NLG",104792
51,0.1227,"$36,413,644 ",ZCoin,11.94,"3,050,102 XZC",7212140
52,0.0714,"$33,893,251 ",CloakCoin,6.64,"5,100,672 CLOAK *",478291
53,-0.0147,"$33,711,614 ",NoLimitCoin,0.17,"203,672,173 NLC2 *",50887
54,-0.0073,"$33,182,138 ",Elastic,0.38,"86,652,367 XEL *",535066
55,0.0406,"$31,185,065 ",Peercoin,1.28,"24,349,826 PPC",239680
56,-0.0074,"$29,522,780 ",Aidos Kuneen,3.32,"8,900,500 ADK *",19187
57,0.0334,"$26,976,964 ",ReddCoin,0,"28,621,316,118 RDD *",2616170
58,-0.0747,"$26,585,531 ",LEOcoin,0.29,"90,555,726 LEO *",207026
59,0.0152,"$25,010,000 ",Counterparty,9.55,"2,617,796 XCP *",118666
60,-0.0083,"$24,507,300 ",MonaCoin,0.45,"54,118,875 MONA",52056
61,-0.0187,"$24,255,415 ",DECENT,0.47,"51,306,089 DCT *",220511
62,-0.0104,"$23,288,007 ",The ChampCoin,0.14,"164,925,727 TCC",128438
63,-0.1161,"$23,186,663 ",Viacoin,1.02,"22,832,080 VIA",856231
64,-0.0216,"$22,686,762 ",Emercoin,0.56,"40,779,545 EMC",134722
65,-0.1231,"$21,689,002 ",Crown,1.41,"15,337,130 CRW",123920
66,0.7752,"$20,620,960 ",Sprouts,0,"584,582,141,215 SPRTS *",9854
67,0.01,"$20,409,426 ",ION,1.24,"16,400,095 ION *",33412
68,0.1074,"$20,299,538 ",Namecoin,1.38,"14,736,400 NMC",137457
69,0.0826,"$19,830,748 ",Clams,7.54,"2,628,337 CLAM *",851718
70,-0.0069,"$19,727,228 ",BitBay,0.02,"1,007,740,618 BAY *",85094
71,-0.1411,"$18,962,711 ",OKCash,0.26,"72,634,863 OK *",2215460
72,-0.0127,"$18,496,843 ",Unobtanium,93.5,"197,817 UNO",29635
73,0.016,"$17,492,702 ",Diamond,7.18,"2,434,895 DMD",57368
74,-0.026,"$17,427,322 ",Skycoin,2.97,"5,874,530 SKY *",7940
75,0.0248,"$17,369,018 ",MonetaryUnit,0.13,"129,486,188 MUE",161942
76,-0.0352,"$17,360,473 ",SpreadCoin,1.97,"8,795,591 SPR",197955
77,0.6474,"$17,069,057 ",Mooncoin,0,"222,291,552,483 MOON",4460
78,-0.0465,"$16,496,380 ",Expanse,2.09,"7,906,397 EXP",243444
79,0.0223,"$15,517,334 ",SIBCoin,1,"15,484,198 SIB",156351
80,0.0437,"$15,231,092 ",ZenCash,6.96,"2,188,325 ZEN",577949
81,-0.0617,"$14,722,522 ",PotCoin,0.07,"218,038,116 POT",158127
82,-0.0278,"$14,261,301 ",Radium,4.26,"3,351,177 RADS *",139192
83,0.0039,"$14,199,244 ",Burst,0.01,"1,800,339,818 BURST",335516
84,-0.0742,"$14,115,161 ",LBRY Credits,0.21,"68,524,524 LBC",756065
85,-0.0105,"$13,822,484 ",Shift,1.23,"11,214,997 SHIFT *",97938
86,-0.0497,"$13,657,846 ",DigitalNote,0,"6,885,695,758 XDN",2157890
87,0.1341,"$13,553,362 ",Neblio,1.09,"12,399,127 NEBL *",99456
88,0.0689,"$13,232,583 ",Einsteinium,0.06,"214,096,252 EMC2",2892490
89,0.2386,"$12,984,520 ",Compcoin,3.05,"4,264,028 CMP",219424
90,-0.0084,"$12,799,006 ",Omni,22.86,"559,786 OMNI *",41528
91,-0.007,"$12,751,674 ",ATC Coin,1.21,"10,525,960 ATCC *",498063
92,0.0011,"$12,526,103 ",Energycoin,0.1,"121,243,039 ENRG",20940
93,-0.0788,"$12,519,449 ",Rubycoin,0.5,"24,792,314 RBY *",45798
94,0.0029,"$12,437,419 ",Gambit,10.42,"1,193,530 GAM *",114899
95,-0.0189,"$12,348,031 ",E-coin,3.08,"4,008,919 ECN",69387
96,-0.0408,"$12,276,886 ",SaluS,12.23,"1,004,195 SLS *",51408
97,-0.0453,"$12,211,006 ",Groestlcoin,0.18,"68,438,903 GRS",1205620
98,-0.0181,"$12,208,321 ",BlackCoin,0.16,"76,386,509 BLK *",324479
99,-0.0569,"$11,820,678 ",Golos,0.09,"124,518,891 GOLOS",12482
100,-0.052,"$11,816,250 ",GridCoin,0.03,"390,312,753 GRC",276327
